,symbol,name,sector,market_cap
215,AINV,Apollo Investment,Capital Markets,781.43M
216,AIP,Arteris,Semiconductors,272.12M
217,AIR,AAR Corp.,Aerospace & Defense,1.64B
218,AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,6.90B
219,AIRG,Airgain,"Electronic Equipment, Instruments & C...",108.01M
220,AIRI,Air Industries Group,Aerospace & Defense,22.26M
221,AIRS,AirSculpt Technologies,Medical Care Facilities,456.81M
222,AIRT,Air T,Air Freight & Logistics,45.02M
223,AIT,Applied Industrial Technologies,Trading Companies & Distributors,3.89B
224,AIU,Meta Data,Diversified Consumer Services,25.52M
225,AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,912.28M
226,AIZ,Assurant,Insurance,9.69B
227,AJG,Arthur J. Gallagher & Company,Insurance,32.98B
228,AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3.23B
229,AJX,Great Ajax,Mortgage Real Estate Investment Trust...,223.72M
230,AKA,a.k.a. Brands Holding,Internet Retail,428.42M
231,AKAM,Akamai Technologies,IT Services,15.78B
232,AKAN,Akanda,Drug Manufacturers-Specialty & Generic,30.85M
233,AKBA,Akebia Therapeutics,Biotechnology,58.38M
234,AKIC,Sports Ventures Acquisition,Blank Check / SPAC,289.69M
235,AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1.61B
236,AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1.76B
237,AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,1.84B
238,AKRO,Akero Therapeutics,Biotechnology,310.65M
239,AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",197.27M
240,AKTX,Akari Therapeutics,Pharmaceuticals,64.10M
241,AKU,Akumin,Diagnostics & Research,78.24M
242,AKUS,Akouos,Biotechnology,100.07M
243,AKYA,Akoya Biosciences,Medical Instruments & Supplies,383.04M
244,AL,Air Lease,Trading Companies & Distributors,4.19B
245,ALB,Albemarle,Chemicals,28.31B
246,ALBO,Albireo Pharma,Biotechnology,425.78M
247,ALC,Alcon,Medical Instruments & Supplies,36.02B
248,ALCC,AltC Acquisition,Blank Check / SPAC,617.76M
249,ALCO,Alico,Food Products,313.45M
250,ALDX,Aldeyra Therapeutics,Biotechnology,162.66M
251,ALE,ALLETE,Electric Utilities,3.49B
252,ALEC,Alector,Biotechnology,768.93M
253,ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1.49B
254,ALF,"ALFI, Inc.",Software-Infrastructure,18.28M
255,ALG,Alamo Group,Machinery,1.36B
256,ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,4.59B
257,ALGN,Align Technology,Health Care Equipment & Supplies,21.57B
258,ALGS,Aligos Therapeutics,Biotechnology,44.40M
259,ALGT,Allegiant Travel Company,Airlines,2.59B
260,ALHC,Alignment Healthcare,Health Care Providers & Services,1.90B
261,ALIM,Alimera Sciences,Pharmaceuticals,37.47M
262,ALIT,Alight,Software-Application,4.32B
263,ALJJ,ALJ Regional Holdings,IT Services,89.06M
264,ALK,Alaska Air Group,Airlines,5.88B
265,ALKS,Alkermes,Biotechnology,4.85B
266,ALKT,Alkami Technology,Software-Application,1.05B
267,ALL,The Allstate Corporation,Insurance,34.48B
268,ALLE,Allegion,Building Products,9.56B
269,ALLG,Allego,Auto Parts,2.18B
270,ALLK,Allakos,Biotechnology,159.67M
271,ALLO,Allogene Therapeutics,Biotechnology,1.07B
272,ALLR,Allarity Therapeutics,Biotechnology,21.31M
273,ALLT,Allot,Software,202.33M
274,ALLY,Ally Financial,Consumer Finance,13.17B
275,ALNA,Allena Pharmaceuticals,Biotechnology,12.70M
276,ALNY,Alnylam Pharmaceuticals,Biotechnology,15.54B
277,ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,223.65M
278,ALOT,AstroNova,"Technology Hardware, Storage & Periph...",91.40M
279,ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,190.77M
280,ALPN,Alpine Immune Sciences,Biotechnology,247.18M
281,ALPP,Alpine 4 Holdings,Metal Fabrication,133.60M
282,ALR,AlerisLife,Medical Care Facilities,39.35M
283,ALRM,Alarm.com Holdings,Software,3.14B
284,ALRN,Aileron Therapeutics,Biotechnology,38.91M
285,ALRS,Alerus Financial,Diversified Financial Services,442.16M
286,ALSA,Alpha Star Acquisition,Blank Check / SPAC,145.51M
287,ALSN,Allison Transmission Holdings,Machinery,3.71B
288,ALT,Altimmune,Biotechnology,211.56M
289,ALTG,Alta Equipment Group,Trading Companies & Distributors,343.53M
290,ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",325.93M
291,ALTR,Altair Engineering,Software,4.16B
292,ALTU,Altitude Acquisition,Blank Check / SPAC,374.25M
293,ALV,Autoliv,Auto Components,6.63B
294,ALVR,AlloVir,Biotechnology,261.34M
295,ALX,Alexander's,Equity Real Estate Investment Trusts ...,1.20B
296,ALXO,ALX Oncology Holdings,Biotechnology,350.67M
297,ALYA,Alithya Group,IT Services,190.86M
298,ALZN,Alzamend Neuro,Biotechnology,86.04M
299,AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4.93B
300,AMAL,Amalgamated Financial,Banks,609.21M
301,AMAM,Ambrx Biopharma,Biotechnology,154.74M
302,AMAO,American Acquisition Opportunity,Blank Check / SPAC,43.54M
303,AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,97.36B
304,AMBA,Ambarella,Semiconductors & Semiconductor Equipment,2.92B
305,AMBC,Ambac Financial Group,Insurance,434.64M
306,AMBO,Ambow Education Holding,Diversified Consumer Services,14.73M
