,symbol,name,sector,market_cap
3255,LAMR,Lamar Advertising Company,Equity Real Estate Investment Trusts ...,9.64B
3256,LANC,Lancaster Colony,Food Products,3.43B
3257,LAND,Gladstone Land,Equity Real Estate Investment Trusts ...,818.04M
3258,LARK,Landmark Bancorp,Banks,125.97M
3259,LASR,nLIGHT,"Electronic Equipment, Instruments & C...",502.76M
3260,LATG,LatAmGrowth SPAC,Blank Check / SPAC,161.69M
3261,LAUR,Laureate Education,Diversified Consumer Services,2.17B
3262,LAW,CS Disco,Software-Application,1.44B
3263,LAX,8i Acquisition 2,Blank Check / SPAC,109.30M
3264,LAZ,Lazard,Capital Markets,3.34B
3265,LAZR,Luminar Technologies,Auto Components,3.36B
3266,LAZY,Lazydays Holdings,Specialty Retail,183.39M
3267,LBAI,Lakeland Bancorp,Banks,977.20M
3268,LBBB,Lakeshore Acquisition II,Blank Check / SPAC,90.68M
3269,LBC,Luther Burbank,Thrifts & Mortgage Finance,674.86M
3270,LBPH,Longboard Pharmaceuticals,Biotechnology,75.23M
3271,LBPS,4D pharma,Biotechnology,75.28M
3272,LBRDA,Liberty Broadband,Media,19.22B
3273,LBRDK,Liberty Broadband,Media,19.24B
3274,LBRT,Liberty Oilfield Services,Energy Equipment & Services,2.94B
3275,LBTYA,Liberty Global,Media,12.03B
3276,LBTYB,Liberty Global,Diversified Telecommunication Services,12.09B
3277,LBTYK,Liberty Global,Media,12.06B
3278,LC,LendingClub,Consumer Finance,1.35B
3279,LCA,Landcadia Holdings IV,Blank Check / SPAC,611.88M
3280,LCAA,L Catterton Asia Acquisition,Blank Check / SPAC,351.33M
3281,LCAP,Lionheart Acquisition II,Blank Check / SPAC,186.38M
3282,LCFY,Locafy,Internet Content & Information,19.30M
3283,LCI,Lannett Company,Pharmaceuticals,21.94M
3284,LCID,Lucid Group,Auto Manufacturers,30.60B
3285,LCII,LCI Industries,Auto Components,2.74B
3286,LCNB,LCNB Corporation,Banks,181.50M
3287,LCTX,Lineage Cell Therapeutics,Biotechnology,211.31M
3288,LCUT,Lifetime Brands,Household Durables,243.80M
3289,LCW,Learn CW Investment,Blank Check / SPAC,245.00M
3290,LDHA,LDH Growth I,Blank Check / SPAC,280.89M
3291,LDI,loanDepot,Mortgage Finance,804.22M
3292,LDOS,Leidos Holdings,IT Services,13.89B
3293,LE,Lands' End,Internet & Direct Marketing Retail,372.22M
3294,LEA,Lear Corporation,Auto Components,7.94B
3295,LEAP,Ribbit LEAP,Shell Companies,579.20M
3296,LECO,Lincoln Electric Holdings,Machinery,7.71B
3297,LEDS,SemiLEDs,Semiconductors & Semiconductor Equipment,10.42M
3298,LEE,"Lee Enterprises,",Media,124.66M
3299,LEG,Leggett & Platt,Household Durables,4.97B
3300,LEGA,"Lead Edge Growth Opportunities,",Blank Check / SPAC,421.55M
3301,LEGH,Legacy Housing,Household Durables,418.22M
3302,LEGN,Legend Biotech,Biotechnology,6.33B
3303,LEJU,Leju Holdings,Internet & Direct Marketing Retail,57.60M
3304,LEN,Lennar,Household Durables,21.57B
3305,LEN.B,Lennar,Construction & Engineering,21.57B
3306,LESL,Leslie's,Home Improvement Retail,3.40B
3307,LEU,Centrus Energy,"Oil, Gas & Consumable Fuels",343.52M
3308,LEV,The Lion Electric Company,Farm & Heavy Construction Machinery,1.02B
3309,LEVI,Levi Strauss & Co.,"Textiles, Apparel & Luxury Goods",6.51B
3310,LEXX,Lexaria Bioscience,Biotechnology,11.66M
3311,LFAC,LF Capital Acquisition II,Blank Check / SPAC,322.47M
3312,LFC,China Life Insurance Company,Insurance,89.89B
3313,LFG,Archaea Energy,Utilities-Renewable,2.07B
3314,LFLY,Leafly Holdings,Pharmaceutical Retailers,417.65M
3315,LFMD,LifeMD,Pharmaceutical Retailers,65.60M
3316,LFST,Lifestance Health Group,Medical Care Facilities,2.86B
3317,LFT,Lument Finance Trust,REIT-Mortgage,132.44M
3318,LFTR,Lefteris Acquisition,Blank Check / SPAC,255.38M
3319,LFUS,Littelfuse,"Electronic Equipment, Instruments & C...",6.52B
3320,LFVN,LifeVantage,Personal Products,50.49M
3321,LGAC,Lazard Growth Acquisition I,Blank Check / SPAC,703.66M
3322,LGF.A,Lions Gate Entertainment,Entertainment,2.61B
3323,LGF.B,Lions Gate Entertainment,Entertainment,2.60B
3324,LGHL,Lion Group Holding,Capital Markets,46.18M
3325,LGIH,LGI Homes,Household Durables,2.22B
3326,LGL,LGL Group,"Electronic Equipment, Instruments & C...",62.18M
3327,LGMK,LogicMark,Security & Protection Services,11.13M
3328,LGND,Ligand Pharmaceuticals,Biotechnology,1.41B
3329,LGO,Largo,Other Industrial Metals & Mining,609.34M
3330,LGST,Semper Paratus Acquisition,Blank Check / SPAC,477.90M
3331,LGTO,Legato Merger II,Blank Check / SPAC,355.88M
3332,LGV,Longview Acquisition II,Blank Check / SPAC,840.08M
3333,LGVC,LAMF Global Ventures I,Blank Check / SPAC,345.26M
3334,LGVN,Longeveron,Biotechnology,162.89M
3335,LH,Laboratory Corporation of America Holdings,Health Care Providers & Services,23.18B
3336,LHAA,Lerer Hippeau Acquisition,Blank Check / SPAC,279.05M
3337,LHC,Leo Holdings II,Blank Check / SPAC,459.84M
3338,LHCG,LHC Group,Health Care Providers & Services,5.14B
3339,LHDX,Lucira Health,Medical Devices,84.52M
3340,LHX,L3Harris Technologies,Aerospace & Defense,44.93B
3341,LI,Li Auto,Automobiles,23.82B
3342,LIAN,LianBio,Biotechnology,270.15M
3343,LIBY,Liberty Resources Acquisition,Blank Check / SPAC,148.46M
3344,LICY,Li-Cycle Holdings,Waste Management,1.34B
3345,LIDR,"AEye, Inc.",Auto Parts,785.20M
3346,LIFE,aTyr Pharma,Biotechnology,82.49M
3347,LII,Lennox International,Building Products,7.41B
3348,LILA,Liberty Latin America,Diversified Telecommunication Services,2.10B
3349,LILAK,Liberty Latin America,Media,2.10B
3350,LILM,Lilium,Aerospace & Defense,867.99M
3351,LIN,Linde,Chemicals,161.75B
3352,LINC,Lincoln Educational Services,Diversified Consumer Services,138.75M
3353,LIND,Lindblad Expeditions Holdings,"Hotels, Restaurants & Leisure",619.45M
3354,LINK,Interlink Electronics,"Electronic Equipment, Instruments & C...",59.62M
3355,LION,Lionheart III,Blank Check / SPAC,159.45M
3356,LIQT,LiqTech International,Machinery,23.77M
3357,LITB,LightInTheBox Holding Co.,Internet & Direct Marketing Retail,133.95M
3358,LITE,Lumentum Holdings,Communications Equipment,6.04B
3359,LITM,Snow Lake Resources,Other Industrial Metals & Mining,52.54M
3360,LITT,Logistics Innovation Technologies,Shell Companies,412.52M
3361,LIVB,LIV Capital Acquisition II,Blank Check / SPAC,125.84M
3362,LIVE,Live Ventures,Household Durables,117.01M
3363,LIVN,LivaNova,Health Care Equipment & Supplies,3.50B
3364,LIXT,Lixte Biotechnology Holdings,Biotechnology,13.85M
3365,LIZI,Lizhi,Internet Content & Information,58.83M
3366,LJAQ,LightJump Acquisition,Blank Check / SPAC,172.83M
3367,LJPC,La Jolla Pharmaceutical Company,Biotechnology,99.67M
3368,LKCO,Luokung Technology,Interactive Media & Services,161.93M
3369,LKFN,Lakeland Financial,Banks,1.83B
3370,LKQ,LKQ Corporation,Distributors,14.04B
3371,LL,Lumber Liquidators Holdings,Specialty Retail,326.97M
3372,LLAP,Terran Orbital,Aerospace & Defense,783.95M
3373,LLL,JX Luxventure,Apparel Manufacturing,13.15M
3374,LLNW,Limelight Networks,IT Services,490.59M
3375,LLY,Eli Lilly and Company,Pharmaceuticals,287.81B
3376,LMACA,Liberty Media Acquisition,Blank Check / SPAC,705.09M
3377,LMAO,LMF Acquisition Opportunities,Blank Check / SPAC,131.97M
3378,LMAT,LeMaitre Vascular,Health Care Equipment & Supplies,985.43M
3379,LMB,Limbach Holdings,Construction & Engineering,61.08M
3380,LMDX,LumiraDx,Diagnostics & Research,1.81B
3381,LMFA,LM Funding America,Diversified Financial Services,16.10M
3382,LMND,Lemonade,Insurance,1.28B
3383,LMNL,Liminal BioSciences,Biotechnology,16.24M
3384,LMNR,Limoneira Company,Food Products,198.19M
3385,LMPX,LMP Automotive Holdings,Specialty Retail,43.42M
3386,LMST,Limestone Bancorp,Banks,149.70M
3387,LMT,Lockheed Martin,Aerospace & Defense,114.97B
3388,LNC,Lincoln National,Insurance,9.42B
3389,LND,BrasilAgro Cia Brasileira de Propriedades Agricolas,Food Products,636.81M
3390,LNDC,Landec,Food Products,277.58M
3391,LNFA,L&F Acquisition,Blank Check / SPAC,77.96M
3392,LNG,Cheniere Energy,"Oil, Gas & Consumable Fuels",32.81B
3393,LNN,Lindsay,Machinery,1.39B
3394,LNSR,LENSAR,Medical Devices,79.64M
3395,LNT,Alliant Energy,Electric Utilities,14.78B
3396,LNTH,Lantheus Holdings,Health Care Equipment & Supplies,4.50B
3397,LNW,Light & Wonder,"Hotels, Restaurants & Leisure",4.80B
3398,LOAN,Manhattan Bridge Capital,Mortgage Real Estate Investment Trust...,62.88M
3399,LOB,Live Oak Bancshares,Banks,1.67B
3400,LOCC,Live Oak Crestview Climate Acquisition,Blank Check / SPAC,240.25M
3401,LOCL,Local Bounti,Farm Products,504.41M
3402,LOCO,El Pollo Loco Holdings,"Hotels, Restaurants & Leisure",371.57M
3403,LODE,Comstock Mining,Metals & Mining,55.25M
3404,LOGC,LogicBio Therapeutics,Biotechnology,16.15M
3405,LOGI,Logitech International,"Technology Hardware, Storage & Periph...",9.66B
3406,LOKM,Live Oak Mobility Acquisition,Blank Check / SPAC,308.66M
3407,LOMA,Loma Negra Compania Industrial Argentina,Construction Materials,675.55M
3408,LOOP,Loop Industries,Chemicals,248.79M
3409,LOPE,Grand Canyon Education,Diversified Consumer Services,2.89B
3410,LOTZ,CarLotz,Auto & Truck Dealerships,62.50M
3411,LOV,Spark Networks SE,Interactive Media & Services,58.94M
3412,LOVE,The Lovesac Company,Household Durables,461.91M
3413,LOW,Lowe's Companies,Specialty Retail,120.26B
3414,LPCN,Lipocine,Pharmaceuticals,79.67M
3415,LPG,Dorian LPG,"Oil, Gas & Consumable Fuels",640.37M
3416,LPI,Laredo Petroleum,"Oil, Gas & Consumable Fuels",1.14B
3417,LPL,LG Display Co.,"Electronic Equipment, Instruments & C...",5.05B
3418,LPLA,LPL Financial Holdings,Capital Markets,14.79B
3419,LPRO,Open Lending,Capital Markets,1.65B
3420,LPSN,LivePerson,Software,1.19B
3421,LPTH,LightPath Technologies,"Electronic Equipment, Instruments & C...",45.44M
3422,LPTX,Leap Therapeutics,Biotechnology,101.57M
3423,LPX,Louisiana-Pacific,Paper & Forest Products,5.29B
3424,LQDA,Liquidia,Pharmaceuticals,366.12M
3425,LQDT,Liquidity Services,Internet & Direct Marketing Retail,484.19M
3426,LRCX,Lam Research,Semiconductors & Semiconductor Equipment,66.83B
3427,LRFC,Logan Ridge Finance,Asset Management,53.95M
3428,LRMR,Larimar Therapeutics,Biotechnology,47.11M
3429,LRN,Stride,Diversified Consumer Services,1.56B
3430,LSBK,Lake Shore Bancorp,Thrifts & Mortgage Finance,80.73M
3431,LSCC,Lattice Semiconductor,Semiconductors & Semiconductor Equipment,6.67B
3432,LSEA,Landsea Homes,Real Estate-Development,324.30M
3433,LSF,Laird Superfood,Packaged Foods,26.78M
3434,LSI,Life Storage,Equity Real Estate Investment Trusts ...,9.47B
3435,LSPD,Lightspeed Commerce,Software,3.58B
3436,LSPR,Larkspur Health Acquisition,Blank Check / SPAC,96.54M
3437,LSTR,Landstar System,Road & Rail,5.46B
3438,LTBR,Lightbridge,Professional Services,59.62M
3439,LTC,LTC Properties,Equity Real Estate Investment Trusts ...,1.47B
3440,LTCH,Latch,Software-Application,331.76M
3441,LTH,Life Time Group Holdings,Leisure,2.69B
3442,LTHM,Livent,Chemicals,4.70B
3443,LTRN,Lantern Pharma,Biotechnology,65.96M
3444,LTRPA,Liberty TripAdvisor Holdings,Interactive Media & Services,126.25M
3445,LTRPB,Liberty TripAdvisor Holdings,Interactive Media & Services,129.53M
3446,LTRX,Lantronix,Communications Equipment,198.70M
3447,LTRY,Lottery.com,Gambling,66.50M
3448,LU,Lufax Holding,Consumer Finance,14.08B
3449,LUB,Luby's,"Hotels, Restaurants & Leisure",56.26M
3450,LUCD,Lucid Diagnostics,Medical Devices,85.81M
3451,LULU,Lululemon Athletica,"Textiles, Apparel & Luxury Goods",34.86B
3452,LUMN,Lumen Technologies,Diversified Telecommunication Services,11.71B
3453,LUMO,Lumos Pharma,Biotechnology,64.11M
3454,LUNA,Luna Innovations,"Electronic Equipment, Instruments & C...",180.61M
3455,LUNG,Pulmonx,Health Care Equipment & Supplies,733.42M
3456,LUV,Southwest Airlines Company,Airlines,25.71B
3457,LUXA,Lux Health Tech Acquisition,Blank Check / SPAC,425.64M
3458,LVAC,LAVA Medtech Acquisition,Blank Check / SPAC,143.89M
3459,LVLU,Lulu's Fashion Lounge Holdings,Apparel Retail,454.54M
3460,LVO,LiveOne,Entertainment,56.30M
3461,LVOX,LiveVox Holding,Software-Infrastructure,190.01M
3462,LVRA,Levere Holdings,Blank Check / SPAC,330.97M
3463,LVS,Las Vegas Sands,"Hotels, Restaurants & Leisure",25.22B
3464,LVTX,LAVA Therapeutics,Biotechnology,88.67M
3465,LW,Lamb Weston Holdings,Food Products,9.29B
3466,LWAY,Lifeway Foods,Food Products,78.41M
3467,LWLG,Lightwave Logic,Chemicals,904.00M
3468,LX,LexinFintech Holdings,Consumer Finance,423.17M
3469,LXEH,Lixiang Education Holding Co.,Education & Training Services,42.20M
3470,LXFR,Luxfer Holdings,Machinery,450.40M
3471,LXP,Lexington Realty Trust,Equity Real Estate Investment Trusts ...,3.23B
3472,LXRX,Lexicon Pharmaceuticals,Biotechnology,258.80M
3473,LXU,LSB Industries,Chemicals,1.77B
3474,LYB,LyondellBasell Industries NV,Chemicals,35.17B
3475,LYEL,Lyell Immunopharma,Biotechnology,1.08B
3476,LYFT,"Lyft, Inc.",Road & Rail,6.92B
3477,LYG,Lloyds Banking Group,Banks,38.50B
3478,LYL,Dragon Victory International,Consumer Finance,22.07M
3479,LYLT,Loyalty Ventures,Software-Infrastructure,263.34M
3480,LYRA,Lyra Therapeutics,Biotechnology,189.36M
3481,LYTS,LSI Industries,Electrical Equipment,180.99M
3482,LYV,Live Nation Entertainment,Entertainment,20.33B
3483,LZ,LegalZoom.com,Specialty Business Services,2.16B
3484,LZB,La-Z-Boy,Household Durables,1.04B
3485,M,Macy's,Multiline Retail,5.20B
3486,MA,Mastercard,IT Services,340.78B
3487,MAA,Mid-America Apartment Communities,Equity Real Estate Investment Trusts ...,21.04B
3488,MAAQ,Mana Capital Acquisition,Blank Check / SPAC,80.60M
3489,MAC,The Macerich Company,Equity Real Estate Investment Trusts ...,2.62B
3490,MACA,Moringa Acquisition,Blank Check / SPAC,145.28M
3491,MACC,Mission Advancement,Blank Check / SPAC,420.90M
3492,MACK,Merrimack Pharmaceuticals,Biotechnology,71.07M
3493,MAG,MAG Silver,Metals & Mining,1.44B
3494,MAIN,Main Street Capital,Capital Markets,2.68B
3495,MAN,ManpowerGroup,Professional Services,4.75B
3496,MANH,Manhattan Associates,Software,7.45B
3497,MANT,ManTech International,IT Services,3.89B
3498,MANU,Manchester United,Entertainment,2.13B
3499,MAPS,WM Technology,Software-Application,945.68M
3500,MAQC,Maquia Capital Acquisition,Blank Check / SPAC,227.75M
3501,MAR,Marriott International,"Hotels, Restaurants & Leisure",51.45B
3502,MARA,Marathon Digital Holdings,IT Services,1.06B
3503,MARK,Remark Holdings,Internet & Direct Marketing Retail,53.34M
3504,MARPS,Marine Petroleum Trust,"Oil, Gas & Consumable Fuels",14.42M
3505,MAS,Masco,Building Products,13.00B
3506,MASI,Masimo,Health Care Equipment & Supplies,7.87B
3507,MASS,908 Devices,Medical Devices,452.27M
3508,MAT,Mattel,Leisure Products,8.26B
3509,MATW,Matthews International,Commercial Services & Supplies,974.88M
3510,MATX,Matson,Marine,3.55B
3511,MAX,MediaAlpha,Internet Content & Information,601.10M
3512,MAXN,Maxeon Solar Technologies,Semiconductors & Semiconductor Equipment,527.53M
3513,MAXR,Maxar Technologies,Aerospace & Defense,1.91B
3514,MAYS,J.W. Mays,Real Estate Management & Development,86.80M
3515,MBAC,M3-Brigade Acquisition II,Blank Check / SPAC,489.50M
3516,MBCN,Middlefield Banc,Banks,145.24M
3517,MBI,MBIA Inc.,Insurance,724.67M
3518,MBII,Marrone Bio Innovations,Chemicals,216.98M
3519,MBIN,Merchants Bancorp,Thrifts & Mortgage Finance,1.05B
3520,MBIO,Mustang Bio,Biotechnology,71.85M
3521,MBOT,Microbot Medical,Health Care Equipment & Supplies,34.97M
3522,MBRX,Moleculin Biotech,Biotechnology,38.15M
3523,MBSC,M3-Brigade Acquisition III,Blank Check / SPAC,322.21M
3524,MBT,Mobile TeleSystems PJSC,Wireless Telecommunication Services,6.59B
3525,MBTC,Nocturne Acquisition,Blank Check / SPAC,150.77M
3526,MBUU,Malibu Boats,Leisure Products,1.13B
3527,MBWM,Mercantile Bank,Banks,500.02M
3528,MC,Moelis & Company,Capital Markets,3.08B
3529,MCAA,Mountain & Co. I Acquisition,Blank Check / SPAC,290.38M
3530,MCAC,Monterey Capital Acquisition,Blank Check / SPAC,135.54M
3531,MCAE,Mountain Crest Acquisition III,Blank Check / SPAC,69.66M
3532,MCAF,Mountain Crest Acquisition IV,Blank Check / SPAC,74.52M
3533,MCAG,Mountain Crest Acquisition V,Blank Check / SPAC,88.91M
3534,MCB,Metropolitan Bank Holding,Banks,873.71M
3535,MCBC,Macatawa Bank,Banks,311.71M
3536,MCBS,MetroCity Bankshares,Banks,518.47M
3537,MCD,McDonald's,"Hotels, Restaurants & Leisure",175.86B
3538,MCFT,MasterCraft Boat Holdings,Leisure Products,402.93M
3539,MCG,Membership Collective Group,Lodging,1.59B
3540,MCHP,Microchip Technology,Semiconductors & Semiconductor Equipment,37.00B
3541,MCHX,Marchex,Media,90.55M
3542,MCK,McKesson,Health Care Providers & Services,47.57B
3543,MCLD,mCloud Technologies,Software-Application,41.05M
3544,MCO,Moody's,Capital Markets,54.19B
3545,MCRB,Seres Therapeutics,Biotechnology,312.66M
3546,MCRI,Monarch Casino & Resort,"Hotels, Restaurants & Leisure",1.24B
3547,MCS,The Marcus Corporation,Entertainment,443.16M
3548,MCW,Mister Car Wash,Personal Services,3.44B
3549,MCY,Mercury General,Insurance,2.67B
3550,MD,MEDNAX,Health Care Providers & Services,1.61B
3551,MDB,MongoDB,IT Services,16.61B
3552,MDC,M.D.C. Holdings,Household Durables,2.57B
3553,MDGL,Madrigal Pharmaceuticals,Biotechnology,1.12B
3554,MDGS,Medigus,Health Care Equipment & Supplies,21.13M
3555,MDH,MDH Acquisition,Blank Check / SPAC,338.10M
3556,MDIA,Mediaco Holding,Broadcasting,22.34M
3557,MDJH,MDJM Ltd.,Real Estate Management & Development,17.51M
3558,MDLZ,Mondelez International,Food Products,85.86B
3559,MDNA,Medicenna Therapeutics,Biotechnology,60.66M
3560,MDRR,Medalist Diversified REIT,Equity Real Estate Investment Trusts ...,18.02M
3561,MDRX,Allscripts Healthcare Solutions,Health Care Technology,1.98B
3562,MDT,Medtronic plc.,Health Care Equipment & Supplies,138.98B
3563,MDU,MDU Resources Group,Multi-Utilities,5.50B
3564,MDV,Modiv,REIT-Diversified,119.71M
3565,MDVL,MedAvail Holdings,Pharmaceutical Retailers,122.06M
3566,MDWD,MediWound,Pharmaceuticals,59.98M
3567,MDWT,Midwest Holding,Insurance-Life,38.72M
3568,MDXG,MiMedx Group,Biotechnology,402.40M
3569,MDXH,MDxHealth,Diagnostics & Research,132.29M
3570,ME,23andMe Holding Co.,Diagnostics & Research,1.30B
3571,MEAC,Mercury Ecommerce Acquisition,Blank Check / SPAC,225.29M
3572,MEC,Mayville Engineering Company,Metals & Mining,176.58M
3573,MED,Medifast,Personal Products,1.93B
3574,MEDP,Medpace Holdings,Life Sciences Tools & Services,4.51B
3575,MEDS,TRxADE HEALTH,Pharmaceutical Retailers,12.44M
3576,MEG,Montrose Environmental Group,Media,1.17B
3577,MEI,Methode Electronics,"Electronic Equipment, Instruments & C...",1.59B
3578,MEIP,MEI Pharma,Biotechnology,61.21M
3579,MEKA,MELI Kaszek Pioneer,Blank Check / SPAC,299.18M
3580,MELI,MercadoLibre,Internet & Direct Marketing Retail,39.19B
3581,MEOA,Minority Equality Opportunities Acquisition,Blank Check / SPAC,160.34M
3582,MEOH,Methanex,Chemicals,3.57B
3583,MERC,Mercer International,Paper & Forest Products,958.26M
3584,MESA,Mesa Air Group,Airlines,99.72M
3585,MESO,Mesoblast,Biotechnology,457.67M
3586,MET,MetLife,Insurance,52.13B
3587,METC,Ramaco Resources,Metals & Mining,662.33M
3588,METX,Meten Edtechx Education Group,Education & Training Services,14.33M
3589,MF,Missfresh,Grocery Stores,54.51M
3590,MFA,MFA Financial,Mortgage Real Estate Investment Trust...,1.37B
3591,MFC,Manulife Financial,Insurance,34.64B
3592,MFG,Mizuho Financial Group,Banks,31.07B
3593,MFGP,Micro Focus International,Software,1.59B
3594,MFH,Mercurity Fintech Holding,Software,19.22M
3595,MFIN,Medallion Financial,Consumer Finance,191.55M
3596,MG,MISTRAS Group,Professional Services,163.03M
3597,MGA,Magna International,Auto Components,18.42B
3598,MGEE,MGE Energy,Electric Utilities,2.91B
3599,MGI,MoneyGram International,IT Services,941.12M
3600,MGIC,Magic Software Enterprises,Software,828.02M
3601,MGLD,The Marygold Companies,Asset Management,42.71M
3602,MGM,MGM Resorts International,"Hotels, Restaurants & Leisure",14.26B
3603,MGNI,Magnite,Internet & Direct Marketing Retail,1.40B
3604,MGNX,MacroGenics,Biotechnology,247.79M
3605,MGPI,MGP Ingredients,Beverages,2.04B
3606,MGRC,McGrath RentCorp,Commercial Services & Supplies,2.00B
3607,MGTA,Magenta Therapeutics,Biotechnology,71.15M
3608,MGTX,MeiraGTx Holdings,Biotechnology,378.70M
3609,MGY,Magnolia Oil & Gas,"Oil, Gas & Consumable Fuels",6.67B
3610,MGYR,Magyar Bancorp,Thrifts & Mortgage Finance,81.70M
3611,MHH,Mastech Digital,Professional Services,208.52M
3612,MHK,Mohawk Industries,Household Durables,8.68B
3613,MHLD,Maiden Holdings,Insurance,176.73M
3614,MHO,M/I Homes,Household Durables,1.27B
3615,MHUA,Meihua International Medical Technologies Co.,Medical Instruments & Supplies,154.75M
3616,MIC,Macquarie Infrastructure,Transportation Infrastructure,339.48M
3617,MICT,"MICT, Inc.",Aerospace & Defense,86.91M
3618,MIDD,The Middleby Corporation,Machinery,7.71B
3619,MIGI,Mawson Infrastructure Group,Capital Markets,174.69M
3620,MILE,Metromile,Insurance-Property & Casualty,130.11M
3621,MIMO,Airspan Networks Holdings,Telecom Services,217.01M
3622,MIND,MIND Technology,Energy Equipment & Services,12.18M
3623,MINM,Minim,Communication Equipment,24.54M
3624,MIR,Mirion Technologies,Specialty Industrial Machinery,1.56B
3625,MIRM,Mirum Pharmaceuticals,Biotechnology,804.16M
3626,MIRO,Miromatrix Medical,Biotechnology,78.36M
3627,MIST,Milestone Pharmaceuticals,Pharmaceuticals,165.48M
3628,MIT,Mason Industrial Technology,Blank Check / SPAC,610.31M
3629,MITA,Coliseum Acquisition,Blank Check / SPAC,181.31M
3630,MITC,MeaTech 3D,Packaged Foods,45.68M
3631,MITK,Mitek Systems,Software,406.66M
3632,MITO,Stealth BioTherapeutics,Biotechnology,13.82M
3633,MITQ,Moving iMage Technologies,Photographic and Photocopying Equipme...,13.21M
3634,MITT,AG Mortgage Investment Trust,Mortgage Real Estate Investment Trust...,190.55M
3635,MIXT,MiX Telematics,Software,217.70M
3636,MKC,McCormick & Company,Food Products,24.50B
3637,MKD,Molecular Data,Chemicals,158.21M
3638,MKFG,Markforged Holding,Computer Hardware,517.75M
3639,MKL,Markel,Insurance,18.30B
3640,MKSI,MKS Instruments,Semiconductors & Semiconductor Equipment,6.62B
3641,MKTW,MarketWise,Software-Application,81.85M
3642,MKTX,MarketAxess Holdings,Capital Markets,10.63B
3643,ML,MoneyLion,Software-Application,362.93M
3644,MLAB,Mesa Laboratories,Health Care Equipment & Supplies,1.12B
3645,MLAC,Malacca Straits Acquisition Company,Blank Check / SPAC,182.02M
3646,MLAI,McLaren Technology Acquisition,Blank Check / SPAC,251.31M
3647,MLCO,Melco Resorts & Entertainment,"Hotels, Restaurants & Leisure",2.52B
3648,MLI,Mueller Industries,Machinery,3.10B
3649,MLKN,MillerKnoll,"Furnishings, Fixtures & Appliances",2.14B
3650,MLM,Martin Marietta Materials,Construction Materials,20.61B
3651,MLNK,MeridianLink,Software-Application,1.41B
3652,MLP,Maui Land & Pineapple Company,Real Estate Management & Development,216.64M
3653,MLR,Miller Industries,Machinery,276.97M
3654,MLSS,Milestone Scientific,Health Care Equipment & Supplies,60.90M
3655,MLTX,MoonLake Immunotherapeutics,Shell Companies,205.86M
3656,MLVF,Malvern Bancorp,Banks,118.80M
3657,MMAT,Meta Materials,Electronic Components,560.60M
3658,MMC,Marsh & McLennan Companies,Insurance,76.38B
3659,MMI,Marcus & Millichap,Real Estate Management & Development,1.61B
3660,MMLP,Martin Midstream Partners,"Oil, Gas & Consumable Fuels",159.68M
3661,MMM,3M Company,Industrial Conglomerates,82.58B
3662,MMMB,MamaMancini's Holdings,Food Products,49.30M
3663,MMP,"Magellan Midstream Partners,","Oil, Gas & Consumable Fuels",10.28B
3664,MMS,Maximus,IT Services,3.96B
3665,MMSI,Merit Medical Systems,Health Care Equipment & Supplies,3.41B
3666,MMX,Maverix Metals,Metals & Mining,624.76M
3667,MMYT,MakeMyTrip,Internet & Direct Marketing Retail,2.74B
3668,MN,Manning & Napier,Capital Markets,231.69M
3669,MNDO,MIND CTI,Software,49.52M
3670,MNDT,Mandiant,Software,5.12B
3671,MNDY,monday.com,Software-Application,4.99B
3672,MNKD,MannKind,Biotechnology,939.54M
3673,MNMD,Mind Medicine (MindMed),Biotechnology,333.31M
3674,MNOV,MediciNova,Biotechnology,119.18M
3675,MNPR,Monopar Therapeutics,Biotechnology,27.64M
3676,MNRL,Brigham Minerals,"Oil, Gas & Consumable Fuels",1.71B
3677,MNRO,Monro,Specialty Retail,1.39B
3678,MNSB,MainStreet Bancshares,Banks,189.66M
3679,MNSO,Miniso Group Holding,Specialty Retail,1.64B
3680,MNST,Monster Beverage,Beverages,46.26B
3681,MNTK,Montauk Renewables,Utilities-Diversified,1.74B
3682,MNTN,Everest Consolidator Acquisition,Blank Check / SPAC,216.06M
3683,MNTS,Momentus,Aerospace & Defense,224.44M
3684,MNTV,Momentive Global,Software,1.80B
3685,MNTX,Manitex International,Machinery,142.62M
3686,MO,Altria Group,Tobacco,94.25B
3687,MOBQ,Mobiquity Technologies,Media,5.84M
3688,MOD,Modine Manufacturing Company,Auto Components,441.79M
3689,MODN,Model N,Software,794.30M
3690,MODV,ModivCare,Health Care Providers & Services,1.40B
3691,MOFG,MidWestOne Financial Group,Banks,462.73M
3692,MOG.A,Moog Inc.,Aerospace & Defense,2.40B
3693,MOG.B,Moog Inc.,Aerospace & Defense,2.38B
3694,MOGO,Mogo Inc.,Consumer Finance,89.03M
3695,MOGU,"Mogu, Inc.",Internet & Direct Marketing Retail,17.75M
3696,MOH,Molina Healthcare,Health Care Providers & Services,18.33B
3697,MOHO,ECMOHO,Internet & Direct Marketing Retail,9.39M
3698,MOLN,Molecular Partners AG,Biotechnology,241.36M
3699,MOMO,Hello Group,Interactive Media & Services,1.01B
3700,MON,Monument Circle Acquisition,Blank Check / SPAC,305.94M
3701,MOR,MorphoSys AG,Biotechnology,712.89M
3702,MORF,Morphic Holding,Biotechnology,891.87M
3703,MORN,Morningstar,Capital Markets,10.58B
